ARO Accession,AMR Gene Family,Drug Class,Resistance Mechanism
ARO:3008511,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008512,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008513,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008514,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008515,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008516,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008517,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3001406,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001641,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008518,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008519,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008520,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008521,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008522,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008523,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008524,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008525,OXA beta-lactamase;OXA-63-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008526,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008527,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3001642,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008528,OXA beta-lactamase;OXA-134-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008529,OXA beta-lactamase;OXA-134-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008530,OXA beta-lactamase;OXA-134-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008531,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008532,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008533,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008534,OXA beta-lactamase;OXA-134-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008535,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008536,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008537,OXA beta-lactamase;OXA-48-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3001643,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008538,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008539,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008540,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008541,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008542,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008543,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008544,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008545,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008546,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008547,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3001644,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008548,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008549,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008550,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008551,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008552,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008553,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008554,OXA beta-lactamase;OXA-2-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008555,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008556,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008557,OXA beta-lactamase;OXA-143-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008558,OXA beta-lactamase;OXA-50-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008559,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008560,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008561,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008562,OXA beta-lactamase;OXA-229-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008563,OXA beta-lactamase;OXA-286-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008564,OXA beta-lactamase;OXA-48-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008565,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008566,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008567,OXA beta-lactamase;OXA-62-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
