ARO Accession,AMR Gene Family,Drug Class,Resistance Mechanism
ARO:3003503,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration
ARO:3003502,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration
ARO:3003777,antibiotic-resistant murA transferase,phosphonic acid antibiotic,antibiotic target alteration
ARO:3004759,BPU Beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3004133,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3004761,BRO Beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3004762,BRO Beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3001205,Bleomycin resistant protein,glycopeptide antibiotic,antibiotic inactivation
ARO:3003772,defensin resistant mprF,peptide antibiotic,antibiotic target alteration
ARO:3006902,BSU beta-lactamase,carbapenem,antibiotic inactivation
ARO:3004860,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration
ARO:3004123,General Bacterial Porin with reduced permeability to beta-lactams,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,reduced permeability to antibiotic
ARO:3004294,BUT beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005558,BUT beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3007635,CAE beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3004559,CAM beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008083,CAM beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3004454,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3004546,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3003789,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration
ARO:3003931,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration
ARO:3006903,CAR beta-lactamase,carbapenem,antibiotic inactivation
ARO:3002817,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic,antibiotic target protection
ARO:3002240,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002249,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005559,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002250,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002252,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002255,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002254,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3003174,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3003175,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002241,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3003150,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3003176,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3003151,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3003186,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005560,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005561,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005562,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005563,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005564,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005565,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002242,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005566,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005567,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005568,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005569,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005570,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005571,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005572,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005573,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002243,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005574,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005575,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005576,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005577,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005578,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005579,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005580,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005581,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005582,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005583,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002244,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005584,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005585,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005586,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005587,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005588,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005589,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3007803,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3007836,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3007837,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002245,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002246,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002247,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002248,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3003808,CarO porin,carbapenem,reduced permeability to antibiotic;resistance by absence
ARO:3002683,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3004657,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3004658,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3003110,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3004660,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002675,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002676,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002680,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002681,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002684,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3004656,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002685,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002686,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002687,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3002688,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3003983,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3004357,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3000855,CAU beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3002999,CblA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3004764,CBP beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3000578,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3007650,CDA beta-lactamase;CTX-M beta-lactamase;SHV beta-lactamase;TEM beta-lactamase,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3006904,CDD beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006905,CDD beta-lactamase,carbapenem,antibiotic inactivation
ARO:3003835,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux
ARO:3003009,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux
ARO:3003010,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux
ARO:3003559,CepA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006224,CepA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006225,CepA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006226,CepA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003553,CepS beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3001856,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3004464,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006906,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006907,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006908,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006909,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006910,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006911,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006912,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006913,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006914,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006915,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006916,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006917,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006918,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3009098,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3009099,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3009100,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3009101,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006919,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006920,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3006921,CfiA beta-lactamase,carbapenem,antibiotic inactivation
ARO:3003441,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3004649,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3004146,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3005021,Cfr 23S ribosomal RNA methyltransferase,glycopeptide antibiotic;lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3005023,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3003001,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003002,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003003,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003005,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003096,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003097,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3004766,CGA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3000841,CGB beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3004174,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3003785,antibiotic-resistant murA transferase,phosphonic acid antibiotic,antibiotic target alteration
ARO:3003978,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration
ARO:3004132,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3003485,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration
ARO:3007855,CHM beta-lactamase,carbapenem;cephalosporin,antibiotic inactivation
ARO:3001302,non-erm 23S ribosomal RNA methyltransferase (G748),lincosamide antibiotic;macrolide antibiotic,antibiotic target alteration
ARO:3000579,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3004768,CIA beta-lactamase,carbapenem;cephalosporin,antibiotic inactivation
ARO:3004769,CIA beta-lactamase,carbapenem;cephalosporin,antibiotic inactivation
ARO:3004770,CIA beta-lactamase,carbapenem;cephalosporin,antibiotic inactivation
ARO:3004771,CIA beta-lactamase,carbapenem;cephalosporin,antibiotic inactivation
ARO:3007840,CIM beta-lactamase,carbapenem;cephalosporin,antibiotic inactivation
ARO:3003907,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3004773,CKO beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3002814,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3002815,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3002816,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3004599,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3004654,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3007637,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,lincosamide antibiotic;nucleoside antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target protection
ARO:3003357,elfamycin resistant EF-Tu,elfamycin antibiotic,antibiotic target alteration
ARO:3003995,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration
ARO:3004562,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration
ARO:3004561,murG transferase,glycopeptide antibiotic,antibiotic target alteration
ARO:3007671,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation
ARO:3004563,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),peptide antibiotic;rifamycin antibiotic,antibiotic target alteration;antibiotic target replacement
ARO:3004681,vancomycin-resistant beta prime subunit of RNA polymerase (rpoC),glycopeptide antibiotic,antibiotic target alteration
ARO:3002674,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
ARO:3003773,defensin resistant mprF,peptide antibiotic,antibiotic target alteration
ARO:3007644,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target protection
ARO:3007645,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,antibiotic without defined classification;lincosamide antibiotic;pleuromutilin antibiotic,antibiotic target protection
ARO:3006922,CMA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006923,CMA beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3004775,CME beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3006155,CME beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008084,CME beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3000783,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic,antibiotic efflux
ARO:3000784,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic,antibiotic efflux
ARO:3000785,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic,antibiotic efflux
ARO:3000526,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic,antibiotic efflux
ARO:3004777,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008085,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008086,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008087,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008088,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008089,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008090,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008091,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008092,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008093,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008094,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006854,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008095,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008096,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008097,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008098,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008099,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008100,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008101,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008102,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006855,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008103,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008104,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008105,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008106,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008107,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006856,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006857,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006858,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008108,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008109,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3008110,CMH beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002693,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002694,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002695,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002696,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3004665,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3005043,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002698,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002699,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002700,chloramphenicol phosphotransferase,phenicol antibiotic,antibiotic inactivation
ARO:3002702,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002703,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
ARO:3002012,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002021,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002112,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002113,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002114,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002115,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002116,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002117,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002118,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002118,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002119,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002120,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002121,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002022,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002071,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002122,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002123,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002124,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002125,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002126,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002127,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002128,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002129,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002130,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002023,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003129,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003130,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003132,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003133,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003135,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003136,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003137,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002024,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003138,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003170,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003170,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003652,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003653,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3003654,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3004778,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3004854,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006457,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005220,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005191,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002025,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005185,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005196,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005195,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005204,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005219,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005197,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005181,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005180,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005192,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005190,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002026,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005016,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005217,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005216,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005218,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005194,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005200,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005182,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005198,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005176,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3006458,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3002027,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005183,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005187,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005184,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005193,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005186,CMY beta-lactamase,cephalosporin,antibiotic inactivation
ARO:3005188,CMY beta-lactamase,cephalosporin,antibiotic inactivation
